address,n_inbound,inbound_wei,n_outbound,outbound_wei
0x70dade18f9c0892c2477f51f71d6d4030d471db3,37,1020000000000000000000000,6,1020000000000000000000000
0xc85e1810fcfef27d7f3d566860246ba7649311bb,36,2873500000000000000000000,7,361522690000000000000000
0x75da935045a5010fb3b7f5828cb324af43b151d0,42,10869622420000000000000000,0,0
0x5c2e112783a6854653b4bc7dc22248d3e592559c,41,175004468,0,0
0x0424d96743d196c581357466c68a7408112410e3,35,3230000320000000000000000,6,3230000320000000000000000
0x61489e66b7783a311b119035a71506ae1d83be6b,35,11864062050000000000000000,6,11773456251707171314741035
0xda45efd0cea3189fb94341dfcd92f441c47cf984,26,3524755500000000000000000,15,3374322306274900398406372
0x8e87143bb7d70228ca016b5aed62af8b36552ccf,35,6546436880000000000000000,6,6546436880000000000000000
0x85ab110b4113603269e0c9a855308670e867255d,34,2719661890000000000000000,6,2719661890000000000000000
0x12bdfcea5b7ddded21d8f7e0609a97cac5c0e823,34,11814766950000000000000000,6,11814766950000000000000000
0x4125af2d05e4a13faad0231985fce7a97c6caabd,32,5294023470000000000000000,8,5294023470000000000000000
0x74f80a186169d51facea380271a929adc705260f,34,2885020460000000000000000,6,2885020460000000000000000
0xc8589a90a84fba709294d6ced1b113fd36832970,40,5260443720000000000000000,0,0
0xdfd716323b94379ebd8423f72cc2bd53a749170e,36,4827407140000000000000000,3,4714510741313944223107569
0x911abaffe40b020d1fd37c2c6f1cc22a623127e9,36,3728863450000000000000000,3,3574345771420318725099601
0x0291a4be5e5f40de94a16f85eee31d458cc112c6,35,1924670450000000000000000,3,1267851410782868525896414
0xadffbe803acfffccc08628bc8e56bbb50801d1ab,35,1320777240000000000000000,3,1230320329309960159362549
0x3695ab10b3796c6ced01d972446259a7b0e15614,38,7426603610000000000000000,0,0
0x4ee4978d1d62fda4bcc321a4cf03884a67d5a381,29,6134266400000000000000000,9,6134266400000000000000000
0x044e7fd955c2dee908c3a90481cf0e0e3639ed4d,38,5466761890000000000000000,0,0
0xc6402178e07ff8bcff6f1ee2e24111aa3f8dbfec,34,1421654750000000000000000,3,1331196117280876494023904
0x10ce410ab938fc4afd026f5c2be7824bf6a9ef2c,34,1977875820000000000000000,3,1048847338396015936254980
0xfe5d68ee122b34fd6a7d502b83b1f42b144f75f8,34,2960000000000000000000000,3,2960000000000000000000000
0x28103e21dfde6c634eb2c9d68873c220a7b2522b,36,12730788830000000000000000,0,0
0x2d22b1ac4711b6fc26e97ec7346af72ae431f822,27,5083655650000000000000000,9,5083655650000000000000000
0xa5818dfd3ac1a64fe3e3e01cdb5f995c6432d147,24,6065656960000000000000000,11,6065656960000000000000000
0x8ade32d1807e8867daf99cb1a12a4f42a3460c59,26,1656441470000000000000000,9,1656441470000000000000000
0x33dde2029738dc5bb005c3144c26a81019ae245a,35,1094999730000000000000000,0,0
0x8a5905e5fbc55afd76ec12ad5cf712da8a04531f,32,1369000000000000000000000,3,644042701872509960159362
0x2dcb9dddfa021ad95a4b99cd644652b65257cb45,35,4444781120000000000000000,0,0
0xcc967ef44970c34549f8632c97f42f503a6ecec5,27,5960145630000000000000000,7,5960145630000000000000000
0x8e14633d087cc8d4693c64f3c2807b7f3b949944,34,1451891120000000000000000,0,0
0xd0c182d53a30514ff45380e370f0175e0f5d9af9,25,3153320620000000000000000,9,3153320620000000000000000
0x83c2f2f3f6ebea3d797c11ea8b218a8793ef9291,28,6564465550000000000000000,6,6564465550000000000000000
0xeef1fca818dd2be1842024d92cb0ce232bfeea1a,27,2670000000000000000000000,6,2670000000000000000000000
0x3834a483f77d3e5f021aa3f39096d9be3cce6e23,27,1299000000000000000000000,6,1299000000000000000000000
0xbe95284cbc4bbb51c7d08fadd5d33e935577d572,24,2200654390000000000000000,9,2200654390000000000000000
0x0950262d7be0372fed0177b274cb2fa0265b97bc,24,3219999880000000000000000,9,3219999880000000000000000
